,Distributor,Total Gross
0,Universal Pictures,5205937685
1,DreamWorks Distribution,2025337327
2,Sony Pictures Releasing,1503348251
3,Walt Disney Studios Motion Pictures,1062245008
4,Paramount Pictures,560809856
5,Warner Bros.,21105869
6,Sony Pictures Classics,1304074
