name,value,group,time
Proof of Life,7645000,Warner Bros.,2000-12-09
Unbreakable,75694000,Walt Disney Studios Motion Pictures,2000-12-09
102 Dalmatians,42500646,Walt Disney Studios Motion Pictures,2000-12-09
Rugrats in Paris,59172131,Paramount Pictures,2000-12-09
Meet the Parents,156585135,Universal Pictures,2000-12-09
Charlie's Angels,118619718,Sony Pictures Releasing,2000-12-09
The 6th Day,32378258,Sony Pictures Releasing,2000-12-09
"Crouching Tiger, Hidden Dragon",451263,Sony Pictures Classics,2000-12-09
The Legend of Bagger Vance,30302697,DreamWorks Distribution,2000-12-09
Bring It On,68032900,Universal Pictures,2000-12-09
What Lies Beneath,155131873,DreamWorks Distribution,2000-12-09
The Contender,17655214,DreamWorks Distribution,2000-12-09
Nutty Professor II: The Klumps,123231140,Universal Pictures,2000-12-09
How the Grinch Stole Christmas,195646175,Universal Pictures,2000-12-10
Vertical Limit,15507845,Sony Pictures Releasing,2000-12-10
Proof of Life,10207869,Warner Bros.,2000-12-10
102 Dalmatians,44279675,Walt Disney Studios Motion Pictures,2000-12-10
Unbreakable,77403181,Walt Disney Studios Motion Pictures,2000-12-10
Rugrats in Paris,60470550,Paramount Pictures,2000-12-10
Charlie's Angels,119250039,Sony Pictures Releasing,2000-12-10
Meet the Parents,157107315,Universal Pictures,2000-12-10
The 6th Day,33001394,Sony Pictures Releasing,2000-12-10
"Crouching Tiger, Hidden Dragon",663205,Sony Pictures Classics,2000-12-10
The Legend of Bagger Vance,30366277,DreamWorks Distribution,2000-12-10
Bring It On,68062410,Universal Pictures,2000-12-10
What Lies Beneath,155153382,DreamWorks Distribution,2000-12-10
Nutty Professor II: The Klumps,123241850,Universal Pictures,2000-12-10
The Contender,17662226,DreamWorks Distribution,2000-12-10
