name,value,group,time
What Lies Beneath,155353086,DreamWorks Distribution,2000-12-30
The Contender,17785340,DreamWorks Distribution,2000-12-30
The Legend of Bagger Vance,30683106,DreamWorks Distribution,2000-12-30
An Everlasting Piece,36572,DreamWorks Distribution,2000-12-30
Nutty Professor II: The Klumps,123303575,Universal Pictures,2000-12-30
Cast Away,100628594,Twentieth Century Fox,2000-12-31
What Women Want,110187561,Paramount Pictures,2000-12-31
Miss Congeniality,41784573,Warner Bros.,2000-12-31
The Family Man,39170330,Universal Pictures,2000-12-31
The Emperor's New Groove,47465336,Walt Disney Studios Motion Pictures,2000-12-31
How the Grinch Stole Christmas,251628905,Universal Pictures,2000-12-31
Vertical Limit,49835304,Sony Pictures Releasing,2000-12-31
"Crouching Tiger, Hidden Dragon",12187815,Sony Pictures Classics,2000-12-31
102 Dalmatians,57556788,Walt Disney Studios Motion Pictures,2000-12-31
Proof of Life,28191240,Warner Bros.,2000-12-31
Rugrats in Paris,70565715,Paramount Pictures,2000-12-31
Unbreakable,89525340,Walt Disney Studios Motion Pictures,2000-12-31
Meet the Parents,161146255,Universal Pictures,2000-12-31
Charlie's Angels,122693797,Sony Pictures Releasing,2000-12-31
The Contender,17793086,DreamWorks Distribution,2000-12-31
An Everlasting Piece,43500,DreamWorks Distribution,2000-12-31
Bring It On,68337590,Universal Pictures,2000-12-31
What Lies Beneath,155359812,DreamWorks Distribution,2000-12-31
The Legend of Bagger Vance,30688488,DreamWorks Distribution,2000-12-31
Nutty Professor II: The Klumps,123305415,Universal Pictures,2000-12-31
